Company_Name,JobTitles,Skills,Description,Stipend,Links
Employee Forums,Flutter Development,"Android , Cloud Firestore , Dart , Firebase , Flutter , iOS , REST API","Selected intern's day-to-day responsibilities include: 

1. Design and implement efficient, reusable, and reliable Flutter applications
2. should have understanding about Bloc State Management  
3.Collaborate with the design team to translate UI/UX wireframes into functional mobile applications
4. Integrate RESTful APIs and third-party libraries to enhance application functionality
5. Troubleshoot and debug issues, conduct thorough testing, and optimize application performance
6. Participate in code reviews to ensure code quality, maintainability, and adherence to project requirements
7. Stay updated with the latest Flutter releases, trends, and best practices in mobile app development
8. Collaborate with cross-functional teams to understand project requirements and provide technical expertise
9. Continuously improve development processes and workflows to increase efficiency and productivity. Android , Cloud Firestore , Dart , Firebase , Flutter , iOS , REST API","₹ 10,000 /month",https://internshala.com/internship/detail/flutter-development-internship-in-mumbai-at-employee-forums1709546809
Across The Globe (ATG),PHP Laravel,"CSS , JavaScript , LARAVEL , PHP","Selected intern's day-to-day responsibilities include: 

1. Test the website and applications to ensure adherence to design specifications prior to release
2. Develop new user-facing features and build reusable code and libraries for future use
3. Conduct user research to identify problems and needs
4. Learn constantly to stay on top of the latest front-end technologies and practices
5. Ensure coding standards and performance budgets are observed throughout the life of a project
6. Help to gather requirements, write functional specifications, and determine optimal implementations

Requirements: The candidate should have a good understanding of HTML, CSS, JS, PHP, Laravel, and working with API and MVC.. CSS , JavaScript , LARAVEL , PHP","₹ 2,500 /month +  Incentives",https://internshala.com/internship/detail/work-from-home-part-time-php-laravel-internship-at-across-the-globe-atg1709551469
Across The Globe (ATG),NextJS,"Bootstrap , CSS , HTML , Next.js","Are you a Next.js enthusiast who knows HTML, CSS, and Bootstrap? Across The Globe (ATG) is looking for a Next.js internship intern to join our organization. This is an exciting opportunity to work with ATG, a leading brand in the industry. As a Next.js internship intern, you will get to work with a team of highly experienced professionals.

Selected intern's day-to-day responsibilities include: 

1. Develop innovative solutions using Next.js and other technologies
2. Collaborate with stakeholders to ensure timely and high-quality deliverables
3. Monitor and debug Next.js projects
4. Keep up with the latest advancements in Next.js and related technologies
5. Create and maintain documentation related to the projects
6. Provide timely support to internal and external customers. Bootstrap , CSS , HTML , Next.js","₹ 3,000 /month +  Incentives",https://internshala.com/internship/detail/work-from-home-part-time-nextjs-internship-at-across-the-globe-atg1709550118
Across The Globe (ATG),Node.js Development,"JavaScript , MongoDB , MySQL , Node.js","Selected intern's day-to-day responsibilities include:

1. Develop and maintain all server-side network components
2. Work to ensure optimal performance of the central database and responsiveness to front-end requests
3. Create and update API
4. Help recommend and implement process and technology enhancements
5. Run diagnostic tests, repair defects, and provide technical support. JavaScript , MongoDB , MySQL , Node.js","₹ 2,500 /month +  Incentives",https://internshala.com/internship/detail/work-from-home-nodejs-development-internship-at-across-the-globe-atg1709547607
Across The Globe (ATG),WordPress Development,"CSS , HTML , JavaScript , PHP , Search Engine Optimization (SEO) , WordPress","Selected intern's day-to-day responsibilities include:

1. Develop and maintain WordPress websites, plugins, and themes for ATG, utilizing your expertise in PHP, HTML, CSS, and JavaScript to create visually stunning and user-friendly experiences
2. Collaborate with the design and marketing teams to ensure seamless integration of website design and functionality, while adhering to best practices in search engine optimization (SEO)
3. Constantly improve website performance and user experience by monitoring and optimizing site speed, responsiveness, and overall functionality
4. Conduct thorough testing and debugging of code to ensure cross-browser compatibility and responsiveness across various devices
5. Assist in the implementation of website analytics and tracking tools to gather and analyze website performance data, making data-driven recommendations for improvement
6. Stay up-to-date with the latest trends and advancements in WordPress and web development, proactively suggesting innovative solutions to enhance ATG's digital presence
7. Collaborate with the IT team to troubleshoot and resolve any technical issues that may arise, ensuring maximum uptime and smooth functioning of all websites

Join ATG's dynamic team and gain hands-on experience in WordPress development while contributing to our global reach. This internship offers opportunities for growth, mentorship, and exposure to cutting-edge technologies. Unleash your creativity and bring your passion for web development to ATG as we revolutionize the digital landscape. Apply now and embark on an exciting journey with us!. CSS , HTML , JavaScript , PHP , Search Engine Optimization (SEO) , WordPress","₹ 7,000-10,000 lump sum",https://internshala.com/internship/detail/work-from-home-wordpress-development-internship-at-across-the-globe-atg1709547487
Across The Globe (ATG),Python Automation,"GUI Testing , Manual Testing , Python , Selenium , Software Testing","Selected intern's day-to-day responsibilities include:

1. Working on the testing, automation, continuous integration, and deployment ideas for continuous improvement and innovation
2. Identifying and selecting the automation test cases
3. Applying various designs and documenting the automation test strategy
4. Creating an automation test plan and getting approval
5. Configuring the Selenium test environment (STE) in order to set it up
6. Participating in Selenium environment setup with an integrated development environment (IDE)
7. Automating the design of a framework
8. Implementing it as per the structure of the project
9. Creating, enhancing, debugging, and running the test cases. GUI Testing , Manual Testing , Python , Selenium , Software Testing","₹ 2,500 /month +  Incentives",https://internshala.com/internship/detail/work-from-home-part-time-python-automation-internship-at-across-the-globe-atg1709547686
CSTech Infosolutions Private Limited,Flutter Development,"Android , Dart , Firebase , Flutter , iOS , REST API","Selected intern's day-to-day responsibilities include: 

1. Work closely with the development team to design, develop, and test mobile applications using the Flutter framework.
2. Write clean, efficient, and maintainable code following best practices and coding standards.
3. Assist in troubleshooting, debugging, and resolving issues in existing Flutter applications.
4. Collaborate with cross-functional teams to gather requirements and understand project objectives.
5. Stay updated with the latest trends and advancements in Flutter and mobile app development.
6. Contribute ideas and suggestions for improving the user experience and overall product quality.

Requirements:

1. Strong understanding of object-oriented programming principles and design patterns.
2. Familiarity with mobile app development concepts and technologies, particularly Flutter.
3. Proficiency in Dart programming language and hands-on experience with the Flutter framework.
4. Knowledge of UI/UX design principles and ability to translate design specifications into functional mobile applications.
5. Good problem-solving skills and attention to detail.
6. Ability to work effectively in a team-oriented, collaborative environment.
7. Excellent verbal and written communication skills.
8. Prior experience or projects in mobile app development will be a plus.. Android , Dart , Firebase , Flutter , iOS , REST API","₹ 10,000-15,000 /month",https://internshala.com/internship/detail/flutter-development-internship-in-bangalore-at-cstech-infosolutions-private-limited1709379513
Brandshark,WordPress Development,"CSS , HTML , JavaScript , WordPress","Selected intern's day-to-day responsibilities include:

1. Assist in designing and developing custom WordPress themes and plugins
2. Collaborate with the team to optimize website performance and user experience
3. Implement responsive designs using HTML, CSS, and JavaScript
4. Troubleshoot and debug WordPress issues to ensure seamless functionality
5. Perform website maintenance tasks, including updates and backups. CSS , HTML , JavaScript , WordPress","₹ 10,000 /month",https://internshala.com/internship/detail/wordpress-development-internship-in-bangalore-at-brandshark1709534092
Ostello India Private Limited,Flutter Development,"Amazon Web Server (AWS) , Android , Dart , Flutter , iOS , Node.js","Selected intern's day-to-day responsibilities include: 

1. Creating a Flutter-based mobile app for Android & iOS  
2. Handling the endpoints connections with the backend
3. Working on database management, and authentication using Google and Facebook
4. Working on complete user experience & smooth workings of the application
5. Creating 100% same UI designs
6. Handling local and server push notifications

Requirements:

1. Should be able to handle complex tasks, such as real-time wallet (coin), channel-wise discussions, hashtag-related content & Q&A management
2. Flutter (dart with asynchronous programming)
3. Good state management with Provider
4. Handle REST API with HTTP or Dio
5. Clean code with good file management
6. Knowledge of caching with shared preferences. Amazon Web Server (AWS) , Android , Dart , Flutter , iOS , Node.js","₹ 6,000-12,000 /month",https://internshala.com/internship/detail/work-from-home-flutter-development-internship-at-ostello-india-private-limited1709545960
Hex Wireless Private Limited,Webflow Web Design,"Design Thinking , Webflow , Wireframing","As a Webflow Web Design Intern at Hex Wireless Private Limited, you will have the opportunity to work on cutting-edge projects that shape the future of digital communication. You will collaborate with our talented team to create visually stunning and user-friendly websites that meet our clients' needs. This internship will provide you with hands-on experience and valuable skills in web design using the latest tools and technologies.

Selected intern's day-to-day responsibilities include:

1. Assist in designing and developing websites using the Webflow platform
2. Collaborate with the design team to create wireframes and mockups
3. Troubleshoot and resolve any design or functionality issues
4. Stay updated on industry trends and best practices in web design
5. Support the team with various design tasks and projects as needed

If you are a creative and motivated individual with a passion for web design, this internship is the perfect opportunity for you to grow and learn in a dynamic and fast-paced environment. Join us at Hex Wireless Private Limited and be a part of revolutionizing the digital landscape!. Design Thinking , Webflow , Wireframing","₹ 6,000 /month",https://internshala.com/internship/detail/work-from-home-webflow-web-design-internship-at-hex-wireless-private-limited1709544286
Host Cluster,Information Technology,"Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","Selected intern's day-to-day responsibilities include: 

1. Assist in setting up, configuring, and maintaining servers, networks, and other IT infrastructure components.
2. Monitor system performance and troubleshoot issues
3. Provide technical support to internal teams and external customers
4. Implement security measures to protect systems and data
5. Participate in project planning and execution for infrastructure upgrades
6. Document procedures, configurations, and troubleshooting steps
7. Stay updated on emerging technologies and trends. Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","₹ 5,500 /month",https://internshala.com/internship/detail/work-from-home-information-technology-internship-at-host-cluster1709537513
Wealthvidya,Equity Analytics,"Advanced Excel , Financial Modeling","Selected intern's day-to-day responsibilities include: 

1. Prepare research reports on securities markets, focusing on equity markets and alternative investments
2. Conduct research on unlisted and listed stocks, as well as start-ups, and assist in the valuation process
3. Update the firm's knowledge databases with changes in domestic and international regulations impacting the alternative investment market
4. Analyze a company's financials and provide initial data points on financial and non-financial factors relevant to the investment process
5. Develop blogs and articles for the firm's marketing and PR activities
6. Create content in various formats (videos, webinars, etc.) for the Content Management System, corporate trainings, and webinar series for investors and students
7. Design content for basic finance modules and participate in online live sessions to address finance student queries
8. Summarize investment research reports for management
9. Perform any other research tasks as required by management. Advanced Excel , Financial Modeling","₹ 10,000 /month",https://internshala.com/internship/detail/equity-analytics-internship-in-mumbai-at-wealthvidya1709529825
Host Cluster,Quality Analytics,"Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","Selected intern's day-to-day responsibilities include: 

1. Assist in testing and evaluating hosting services
2. Collaborate to identify and document quality issues
3. Develop and execute test plans and cases
4. Conduct regression testing
5. Maintain and update test documentation
6. Troubleshoot and resolve issues with developers
7. Monitor system performance metrics
8. Provide feedback for service improvement. Certificate ,  Letter of recommendation ,  Flexible work hours ,  5 days a week","₹ 5,500 /month",https://internshala.com/internship/detail/work-from-home-quality-analytics-internship-at-host-cluster1709538221
MBS STUDIOS PRIVATE LIMITED,Graphic Concept Artificial Intelligence (AI),Machine Learning,"Selected intern's day-to-day responsibilities include:

1. Gather ideas, stories, and concepts for game design and level design
2. Create a basic storyline and work on the theme
3. Collaborate with the team to illustrate and develop concepts to support the production of 3D assets
4. Deliver illustrations following specific guidelines and working within production schedules
5. Provide sketches, mood boards, and full-color finished concept art for characters, props, and environments
6. Collaborate in a team environment with other artists, programmers, and designers
7. Identify and learn various AI tools including mid-journey needed to expand the video game business
8. Identify and use effective prompts to expand the concept and game design
9. Test them effectively to expand the business. Machine Learning","₹ 5,000-15,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-graphic-concept-artificial-intelligence-ai-internship-at-mbs-studios-private-limited1709538097
MBS STUDIOS PRIVATE LIMITED,Concept Art,Machine Learning,"Selected intern's day-to-day responsibilities include:

1. Identify and learn various AI tools including mid-journey, gen craft, Adobe Firefly,0, etc. needed to expand the video game business
2. Identify and use effective prompts to expand the concept and character design
3. Test them effectively to expand the business. Machine Learning","₹ 5,000-15,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-concept-art-internship-at-mbs-studios-private-limited1709533991
MBS STUDIOS PRIVATE LIMITED,Storyboard Artist,"Autodesk Maya , Blender 3D , Machine Learning , Sketching , Storyboarding","Selected intern's day-to-day responsibilities include:

1. Gather ideas, stories, and concepts for game design and level design.
2. Create a basic storyline and work on the theme.
3. Collaborate with the team to illustrate and develop concepts to support the production of 3D assets.
4. Deliver illustrations following specific guidelines and working within production schedules.
5. Provide sketches, mood boards, and full-color finished concept art for characters, props, and environments.
6. Collaborate with other artists, programmers, and designers in a team environment.
Amend designs based on feedback.
7. Identify and learn various AI tools including mid-journey needed to expand the video game business
8. Identify and use effective prompts to expand the concept and game design
9. Test them effectively to expand the business

Skills/Requirements:- 

1. Good Visualisation skills.
2. Good Communication skills.
3. Excellent research and design skills.
4. Familiar with current design trends.
5. The candidate should have a knack for telling an engaging story through a game.
6. Meets deadlines with proficiency
7. Strong drafting skills
8. Fundamentals of 3d software such as Maya, Blender, etc.
9. Strong staging and composition skills.
10. Versatile drawing skills and art styles
11. Strong time-management skills. Autodesk Maya , Blender 3D , Machine Learning , Sketching , Storyboarding","₹ 5,000-15,000 /month",https://internshala.com/internship/detail/work-from-home-part-time-storyboard-artist-internship-at-mbs-studios-private-limited1709534063
Coding Junior,Flutter Development,"Android , Cloud Firestore , Dart , Firebase , Flutter , iOS , REST API","Selected intern's day-to-day responsibilities include: 

1. Working with GetX architecture to create new features and enhance existing app performance
2. Working with integration testing to automate testing in-app
3. Creating and integrating APIs. Android , Cloud Firestore , Dart , Firebase , Flutter , iOS , REST API","₹ 8,000 /month",https://internshala.com/internship/detail/work-from-home-flutter-development-internship-at-coding-junior1709531681
Jaipur Global Services,E-Commerce Business Management,"Data Analysis , Effective Communication , English Proficiency (Spoken) , Market Analysis","Selected intern's day-to-day responsibilities include:

1. Manage Amazon seller accounts, ensuring compliance and maximizing sales
2. Create advertisements and promotions within the Amazon seller portal
3. Analyze business reports in the Amazon seller portal to drive informed decisions
4. Calculate profit and loss to assess the performance of Amazon sales
5. Manage customer relationships through calls, emails, and WhatsApp
6. Consult with clients to understand their advertising needs and preferences
7. Discuss advertising ideas and strategies with clients, assisting in campaign development
8. Organize promotional events that align with marketing campaign goals
9. Liaise with clients to ensure promotional activities are successful and meet objectives

Requirements:

1. Graduate degree in Business Administration, BA, BCOM, BCA, or BSE
2. Strong analytical and problem-solving skills
3. Excellent communication and presentation skills
4. Proficient in data analysis and visualization tools such as Microsoft Excel, CRM, Call, Email, WhatsApp
5. Located in or willing to relocate to Jaipur
6. Superb creative, analytical, and problem-solving abilities
7. The ability to cope with pressure and keep to tight deadlines. Data Analysis , Effective Communication , English Proficiency (Spoken) , Market Analysis","₹ 12,000-18,000 /month",https://internshala.com/internship/detail/e-commerce-business-management-internship-in-jaipur-at-jaipur-global-services1709367711
The Learn Cloud,WordPress Development,"CSS , Git , HTML , JavaScript , MySQL , PHP","Selected intern's day-to-day responsibilities include:

1. Build creative and conversion-focused websites and landing pages using WordPress
2. Work using coding knowledge (HTML, CSS, JavaScript, PHP) to make custom changes to the website code
3. Optimize sites for maximum speed and scalability
4. Optimize SEO on existing & new websites
5. Troubleshoot bugs to maintain and enhance existing websites
6. Ensure website function and stability across devices, i.e., desktop, mobile, tablet, etc.
7. Conduct research & implement the latest design trends for website-making
8. Communicate fluently with clients to understand their requirements
9. Work efficiently in a team consisting of a project manager, content writer, marketer, interns, photographers, and others
10. Create low & high-fidelity wireframes before starting with website-making
11. Work on multiple projects of varying size and complexity at the same time
12. Create a website proposal for the potential clients
13. Work using a project management tool to plan & record your daily activities
14. Develop custom themes and plugins
15. Migrate websites from other platforms to WordPress
16. Make multilingual websites with e-commerce, directory, membership, LMS & more functionalities
17. Produce high-quality work with a strong focus on detail. CSS , Git , HTML , JavaScript , MySQL , PHP","₹ 10,000 /month",https://internshala.com/internship/detail/work-from-home-wordpress-development-internship-at-the-learn-cloud1709529888
Xboom Utilities Private Limited,Supply Chain & Logistics Operations,"Data Analysis , Effective Communication , MS-Excel , Negotiation & Problem-solving","Selected intern's day-to-day responsibilities include: 

1. Develop and implement strategic plans for the supply chain to meet business objectives.
2. Collaborate with other departments to align supply chain activities with overall company goals.
3. Handle queries and solve problems efficiently and independently.
4. Identify potential suppliers, conduct negotiations, and establish agreements.
5. Manage the procurement process, ensuring timely and cost-effective acquisition of goods and services.
6. Evaluate and select suppliers based on quality, reliability, and cost-effectiveness.
7. Develop and implement inventory control strategies to optimize stock levels.
8. Monitor inventory turnover and ensure adequate stock levels to meet demand while minimizing holding costs.
9. Oversee the logistics and distribution process, ensuring timely and efficient delivery of products.
10. Identify opportunities for process improvements and implement best practices.
11. Monitor key performance indicators (KPIs) and implement corrective actions when necessary.. Data Analysis , Effective Communication , MS-Excel , Negotiation & Problem-solving","₹ 8,000-12,000 /month",https://internshala.com/internship/detail/supply-chain-logistics-operations-internship-in-bangalore-at-xboom-utilities-private-limited1709121621
COSGrid Systems Private Limited,Digital Marketing,"Adobe Illustrator , Canva , Content Writing , Data Analysis , Digital Marketing , Effective Communication , Google AdWords , Google Analytics , Search Engine Marketing (SEM) , Social Media Marketing","Selected intern's day-to-day responsibilities include: 

1. Identify and create the content that will effectively engage customers.
2. Assist in managing our social media platforms by creating content, scheduling posts, and analyzing engagement. 
3. Contribute to the development of marketing materials like blogs, Product brochures, case studies , newsletters, and promotional content.
4. PPC & Social Media campaigns management.
5. Implementing remarketing and retargeting strategies.
6. Assist in analyzing marketing data (campaign results, conversion rates, traffic etc.) to help shape future marketing strategies
7. Reviewing and actively managing website and other online assets and sources 
8. Create reports on the growth and analytics of campaigns
9. Implement SEO strategies to improve the company's online visibility and search engine rankings for relevant keywords 
10. Maintaining the online presence and reputation of the company
11. Keep yourself informed about the most recent developments and optimal strategies in digital marketing and cybersecurity.. Adobe Illustrator , Canva , Content Writing , Data Analysis , Digital Marketing , Effective Communication , Google AdWords , Google Analytics , Search Engine Marketing (SEM) , Social Media Marketing","₹ 12,000-20,000 /month",https://internshala.com/internship/detail/digital-marketing-internship-in-chennai-at-cosgrid-systems-private-limited1709031637
Prime Infoserv LLP,Ethical Hacking,Ethical Hacking,"Selected intern's day-to-day responsibilities include: 

1. Work on web application audit
2. Handle mobile application audit
3. Handle network audit
4. Do a secure code review. Ethical Hacking","₹ 5,000 /month",https://internshala.com/internship/detail/ethical-hacking-internship-in-delhi-at-prime-infoserv-llp1709368086
FynTune Solution Private Limited,PHP Development,"AJAX , CodeIgniter , HTML , JavaScript , jQuery , LARAVEL , MySQL , PHP , Yii","Selected intern's day-to-day responsibilities include:

1. Develop, record, and maintain cutting-edge web-based PHP applications on portal plus premium service platforms
2. Ensure HTML, CSS, and shared JavaScript is valid and consistent across applications
3. Prepare and maintain all applications utilizing standard development tools
4. Utilize backend data services and contribute to increasing existing data services API
5. Use test-driven development and acceptance tests to ensure feature quality
6. Work on the interface with customer and internal teams to gather requirements and develop software solutions
7. Convey effectively all task progress, evaluations, suggestions, and schedules along with technical and process issues
8. Document the development process, architecture, and standard components
9. Coordinate with co-developers and keep the project manager well informed of the status of development efforts and serve as a liaison between development staff and project manager. AJAX , CodeIgniter , HTML , JavaScript , jQuery , LARAVEL , MySQL , PHP , Yii","₹ 12,000-18,000 /month",https://internshala.com/internship/detail/php-development-internship-in-multiple-locations-at-fyntune-solution-private-limited1709288562
